Estación:       CABORCA,  SON
Operada por:    SMN EMAS
Longitud:       112°26'07"  Latitud: 30°46'29"  Altitud: 188

DD/MM/AAAA HHMM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL
26/01/2018 17:00        94       334      6.28     20.30      18.7        26     997.6       0.0     520.2
26/01/2018 18:00       193       200      6.43     19.80      21.2        30     997.8       0.0     630.3
26/01/2018 19:00       182       192     18.33     37.30      21.8        37     997.0       0.0     645.8
26/01/2018 20:00       187       199     22.03     46.30      22.3        34     996.2       0.0     689.0
26/01/2018 21:00       198       206     26.07     55.90      22.3        30     995.7       0.0     641.7
26/01/2018 22:00       200       206     26.36     51.20      22.2        26     995.3       0.0     487.7
26/01/2018 23:00       191       199     31.44     68.40      21.7        31     995.4       0.0     296.7
27/01/2018 00:00       194       194     29.81     53.40      19.7        38     995.5       0.0     101.7
27/01/2018 01:00       195       194     28.74     53.90      16.8        45     996.1       0.0       1.3
27/01/2018 02:00       196       203     20.60     39.50      14.5        54     996.6       0.0       0.0
27/01/2018 03:00       211       213     13.10     22.70      12.9        56     996.9       0.0       0.0
27/01/2018 04:00       205       214     11.04     20.40      11.6        59     997.1       0.0       0.0
27/01/2018 05:00       112        95      1.73     13.90       9.7        63     997.2       0.0       0.0
27/01/2018 06:00        42        37     10.50     20.70       8.3        65     997.4       0.0       0.0
27/01/2018 07:00        40        34     14.52     23.50       7.3        66     997.4       0.0       0.0
27/01/2018 08:00        41        35     13.12     20.10       6.1        67     997.3       0.0       0.0
27/01/2018 09:00        38        57     11.18     22.20       6.0        67     996.9       0.0       0.0
27/01/2018 10:00        75       101      8.02     14.00       4.7        69     996.8       0.0       0.0
27/01/2018 11:00        38        43     15.13     24.70       4.1        72     996.6       0.0       0.0
27/01/2018 12:00        33        36     14.99     23.90       4.3        68     996.7       0.0       0.0
27/01/2018 13:00        39        33     11.77     24.20       3.8        67     997.3       0.0       0.0
27/01/2018 14:00        89        99     12.55     18.60       3.4        70     997.8       0.0      11.8
27/01/2018 15:00        75        66     11.03     25.50       6.8        59     998.3       0.0     146.2
27/01/2018 16:00       100       333     10.52     22.70      10.4        54     998.9       0.0     347.5
27/01/2018 17:00       115       133     12.15     25.50      13.8        49     999.1       0.0     530.5
27/01/2018 18:00       121       123     10.06     29.00      17.2        42     998.7       0.0     648.5
27/01/2018 19:00       182       193     11.87     34.70      20.3        35     997.7       0.0     660.3
27/01/2018 20:00       195       200     27.10     53.70      21.8        30     996.4       0.0     703.7
27/01/2018 21:00       195       215     31.05     62.00      23.2        26     995.5       0.0     651.0
27/01/2018 22:00       194       209     35.65     66.40      23.7        25     995.0       0.0     494.0
27/01/2018 23:00       185       191     40.42     64.40      23.2        27     994.9       0.0     302.2
28/01/2018 00:00       184       196     37.19     66.50      21.5        29     994.8       0.0     106.5
28/01/2018 01:00       184       188     31.25     51.80      19.1        34     995.0       0.0       1.5
28/01/2018 02:00       187       191     23.50     43.30      17.4        34     995.4       0.0       0.0
28/01/2018 03:00       205       202     16.76     29.50      15.8        30     995.6       0.0       0.0
28/01/2018 04:00       204       213     13.19     37.30      14.1        31     995.7       0.0       0.0
28/01/2018 05:00       188       193     15.25     31.70      11.6        33     995.8       0.0       0.0
28/01/2018 06:00       189       202     15.75     37.10      12.0        30     996.1       0.0       0.0
28/01/2018 07:00       177       181     14.93     21.80      10.9        31     996.0       0.0       0.0
28/01/2018 08:00       200       205     12.84     21.60      10.4        32     996.0       0.0       0.0
28/01/2018 09:00       265       268     11.59     18.50       8.4        35     995.8       0.0       0.0
28/01/2018 10:00       303       317      9.15     17.90       7.3        40     995.4       0.0       0.0
